archArea,atchBldArea,atchBldCnt,bcRat,bjdongCd,bldNm,block,bun,bylotCnt,crtnDay,engrEpi,engrGrade,engrRat,etcPurps,fmlyCnt,gnBldCert,gnBldGrade,hhldCnt,hoCnt,indrAutoArea,indrAutoUtcnt,indrMechArea,indrMechUtcnt,itgBldCert,itgBldGrade,ji,lot,mainBldCnt,mainPurpsCd,mainPurpsCdNm,mgmBldrgstPk,naBjdongCd,naMainBun,naRoadCd,naSubBun,naUgrndCd,newOldRegstrGbCd,newOldRegstrGbCdNm,newPlatPlc,oudrAutoArea,oudrAutoUtcnt,oudrMechArea,oudrMechUtcnt,platArea,platGbCd,platPlc,pmsDay,pmsnoGbCd,pmsnoGbCdNm,pmsnoKikCd,pmsnoKikCdNm,pmsnoYear,regstrGbCd,regstrGbCdNm,regstrKindCd,regstrKindCdNm,rnum,sigunguCd,splotNm,stcnsDay,totArea,totPkngCnt,useAprDay,vlRat,vlRatEstmTotArea
163.8,0,0,0,10200,,,0405,0,20111021,0,,0,다세대주택,0,0,,16,0,0,0,0,0,0,,0360,,2,02000,공동주택,11470-36,10201,11.0,114704142306,0.0,0,1,신대장,서울특별시 양천구 오목로54길 11,0,0,0,0,0,0,서울특별시 양천구 목동 405-360번지,,,,,,,2,집합,1,총괄표제부,41,11470,,,655.2,0,,0,491.4
126.49,0,0,0,10200,,,0405,0,20111021,0,,0,다세대주택,0,0,,12,0,0,0,0,0,0,,0468,,2,02000,공동주택,11470-719,10201,12.0,114704142307,0.0,0,1,신대장,서울특별시 양천구 오목로56길 12,0,0,0,0,0,0,서울특별시 양천구 목동 405-468번지,,,,,,,2,집합,1,총괄표제부,42,11470,,,505.96,0,,0,379.47
197.98,0,0,0,10200,,,0405,0,20111021,0,,0,다세대주택,0,0,,19,0,0,0,0,0,0,,0471,,3,02000,공동주택,11470-422,10201,9.0,114704142306,1.0,0,1,신대장,서울특별시 양천구 오목로54길 9-1,0,0,0,0,0,0,서울특별시 양천구 목동 405-471번지,,,,,,,2,집합,1,총괄표제부,43,11470,,,744.58,0,,0,546.6
161.68,0,0,0,10200,,,0406,0,20140710,0,,0,제1종근린생활시설,0,0,,0,0,0,0,0,0,0,,0022,,2,03000,제1종근린생활시설,11470-699,10202,333.0,114703114014,0.0,0,1,신대장,서울특별시 양천구 오목로 333,0,0,0,0,0,0,서울특별시 양천구 목동 406-22번지,19930406,,,,,,1,일반,1,총괄표제부,44,11470,,,478.8,0,19940721,0,437.76
1013.83,0,0,0,10200,,,0409,0,20120821,0,,0,단독주택,32,0,,0,0,0,0,0,0,0,,0003,,32,01000,단독주택,11470-35,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,서울특별시 양천구 목동 409-3번지,,,,,,,1,일반,1,총괄표제부,45,11470,,,1013.83,0,,0,1013.83
414.84,0,0,55.87,10200,대명이튼캐슬,,0497,0,20141223,0,,0,단지형다세대주택 및 제1종근생,0,0,,23,0,163.79,6,0,0,0,,0004,,2,02000,공동주택,11470-100211739,,0.0,,0.0,0,1,신대장,,107.35,11,0,0,742.5,0,서울특별시 양천구 목동 497-4번지,20140206,1101,신축허가,3140176,건축과,2014,2,집합,1,총괄표제부,46,11470,,20140303,1484.56,17,20141219,199.94,1484.56
363.08,0,0,53.5,10200,레이나,,0498,0,20150218,0,,0,도시형생활주택 단지형 다세대주택,0,0,,28,0,265.66,6,0,0,0,,0007,,2,02000,공동주택,11470-100212495,,0.0,,0.0,0,1,신대장,,0,14,0,0,678.7,0,서울특별시 양천구 목동 498-7번지,20140923,1101,신축허가,3140176,건축과,2014,2,집합,1,총괄표제부,47,11470,,20141014,1267.85,20,20150210,186.81,1267.85
345.42,0,0,59.77,10200,이튼캐슬3,,0498,4,20190713,0,,0,도시형생활주택(단지형다세대)-29세대,0,0,,29,0,103.5,9,0,0,0,,0018,,2,02000,공동주택,11470-100227548,10201,12.0,114704142170,0.0,0,1,신대장,서울특별시 양천구 목동중앙본로29길 12,92,8,0,0,577.9,0,서울특별시 양천구 목동 498-18번지,20160112,1101,신축허가,3140176,건축과,2016,2,집합,1,총괄표제부,48,11470,,20160126,1155.62,17,20180424,199.97,1155.62
354.32,0,0,59.18,10200,도화엘리시아,,0499,0,20210802,0,,0,공동주택(단지형다세대주택),0,0,,26,0,0,8,0,0,0,,0031,,2,02000,공동주택,11470-100242488,,0.0,,0.0,0,1,신대장,,82.2,7,0,0,598.7,0,서울특별시 양천구 목동 499-31번지,20200917,1101,신축허가,3140258,건축과,2020,2,집합,1,총괄표제부,49,11470,,20200921,1090.63,15,20210730,182.17,1090.63
188.44,0,0,0,10200,,,0500,0,20111021,0,,0,다세대주택,0,0,,12,0,0,0,0,0,0,,0007,,2,02000,공동주택,11470-91,10201,129.0,114704142199,42.0,0,1,신대장,서울특별시 양천구 목동중앙북로8길 129-42,0,0,0,0,0,0,서울특별시 양천구 목동 500-7번지,,,,,,,2,집합,1,총괄표제부,50,11470,,,930.24,0,,0,752.1
