"시도별","시점","15세이상인구[천명]","경제활동인구[천명]","취업자[천명]","실업자[천명]","비경제활동인구[천명]","경제활동참가율[%]","실업률[%]","고용률[%]","15-64세 고용률[%]",
"계","2010.01 월","40594.6","24258.3","23040.7","1217.6","16336.3","59.8","5","56.8","62",
"계","2010.02 월","40630.2","24217","23047.4","1169.6","16413.2","59.6","4.8","56.7","61.8",
"계","2010.03 월","40667.3","24567.1","23559.9","1007.2","16100.2","60.4","4.1","57.9","62.6",
"계","2010.04 월","40703.2","25052.5","24116.4","936.1","15650.7","61.5","3.7","59.2","63.6",
"계","2010.05 월","40747.7","25292.7","24495.1","797.6","15455","62.1","3.2","60.1","64.3",
"계","2010.06 월","40788.1","25352.3","24474.2","878.1","15435.8","62.2","3.5","60","64.2",
"계","2010.07 월","40840.4","25435.2","24499.6","935.6","15405.1","62.3","3.7","60","64.3",
"계","2010.08 월","40889.4","25050.5","24214.3","836.2","15838.9","61.3","3.3","59.2","63.5",
"계","2010.09 월","40932.9","25133.9","24270.2","863.8","15798.9","61.4","3.4","59.3","63.5",
"계","2010.10 월","40979.3","25236","24398","838","15743.3","61.6","3.3","59.5","63.8",
"계","2010.11 월","41031.2","25091.5","24346.6","744.9","15939.7","61.2","3","59.3","63.9",
"계","2010.12 월","41090.2","24790.2","23931.3","858.9","16300","60.3","3.5","58.2","63.3",
"계","2011.01 월","41141.1","24362.4","23438.9","923.5","16778.7","59.2","3.8","57","62.3",
"계","2011.02 월","41186","24693.5","23589.2","1104.3","16492.6","60","4.5","57.3","62.5",
"계","2011.03 월","41234.8","25192.9","24114.2","1078.7","16041.9","61.1","4.3","58.5","63.2",
"계","2011.04 월","41278.7","25524.4","24580.5","943.9","15754.2","61.8","3.7","59.5","64",
"계","2011.05 월","41337.5","25774.5","24950","824.5","15562.9","62.4","3.2","60.4","64.7",
"계","2011.06 월","41375.4","25900.4","25052.5","847.9","15475","62.6","3.3","60.5","64.9",
"계","2011.07 월","41421.9","25780.2","24933.1","847","15641.7","62.2","3.3","60.2","64.7",
"계","2011.08 월","41459.7","25556.1","24783.7","772.3","15903.6","61.6","3","59.8","64.1",
"계","2011.09 월","41487.3","25372.3","24604.3","768","16115","61.2","3","59.3","63.7",
"계","2011.10 월","41521.4","25709.6","24964.8","744.8","15811.8","61.9","2.9","60.1","64.5",
"계","2011.11 월","41565.3","25620.5","24885.4","735.1","15944.9","61.6","2.9","59.9","64.5",
"계","2011.12 월","41635.8","25181.2","24420.7","760.5","16454.5","60.5","3","58.7","63.9",
"계","2012.01 월","41659.8","24883.8","24023.7","860.1","16775.9","59.7","3.5","57.7","63.1",
"계","2012.02 월","41698.6","25128.6","24079","1049.6","16570","60.3","4.2","57.7","63.1",
"계","2012.03 월","41734.7","25518.6","24566","952.6","16216.1","61.1","3.7","58.9","63.7",
"계","2012.04 월","41766.4","25959","25057.9","901.2","15807.4","62.2","3.5","60","64.5",
"계","2012.05 월","41813","26242.6","25430.5","812.1","15570.4","62.8","3.1","60.8","65.2",
"계","2012.06 월","41840.3","26241.2","25411.5","829.7","15599.1","62.7","3.2","60.7","65.2",
"계","2012.07 월","41878.3","26180.8","25377.8","803","15697.5","62.5","3.1","60.6","65.1",
"계","2012.08 월","41909.7","25890.7","25120.5","770.2","16019","61.8","3","59.9","64.4",
"계","2012.09 월","41937.2","26013.9","25256.6","757.3","15923.3","62","2.9","60.2","64.6",
"계","2012.10 월","41965.6","26036.9","25314.9","722.1","15928.6","62","2.8","60.3","64.8",
"계","2012.11 월","42005.3","25896","25182.1","713.9","16109.2","61.6","2.8","59.9","64.7",
"계","2012.12 월","42071.9","25378","24637","741","16693.9","60.3","2.9","58.6","63.8",
"계","2013.01 월","42094.8","25137.8","24286.5","851.3","16957","59.7","3.4","57.7","63.2",
"계","2013.02 월","42137","25205.9","24214.6","991.3","16931","59.8","3.9","57.5","62.9",
"계","2013.03 월","42164.5","25620.5","24736.2","884.3","16544","60.8","3.5","58.7","63.5",
"계","2013.04 월","42198","26148.8","25322.1","826.6","16049.2","62","3.2","60","64.6",
"계","2013.05 월","42234.9","26408.9","25610.4","798.5","15825.9","62.5","3","60.6","65.1",
"계","2013.06 월","42276","26499.2","25685.5","813.7","15776.8","62.7","3.1","60.8","65.3",
"계","2013.07 월","42316.4","26508.7","25681.3","827.4","15807.7","62.6","3.1","60.7","65.3",
"계","2013.08 월","42358.5","26296.3","25513","783.3","16062.2","62.1","3","60.2","64.8",
"계","2013.09 월","42401.1","26422.1","25701.3","720.8","15979","62.3","2.7","60.6","65.2",
"계","2013.10 월","42443.4","26522.3","25797.9","724.3","15921.1","62.5","2.7","60.8","65.4",
"계","2013.11 월","42488.4","26497.1","25795.4","701.7","15991.3","62.4","2.6","60.7","65.5",
"계","2013.12 월","42532.5","26023.4","25248.1","775.3","16509.1","61.2","3","59.4","64.8",
"계","2014.01 월","42570.4","25941.3","25050.3","890.9","16629.1","60.9","3.4","58.8","64.6",
"계","2014.02 월","42615.7","26292","25116.4","1175.6","16323.7","61.7","4.5","58.9","64.6",
"계","2014.03 월","42655.9","26488.2","25462.5","1025.7","16167.7","62.1","3.9","59.7","64.8",
"계","2014.04 월","42697","27018.1","25985","1033.1","15678.9","63.3","3.8","60.9","65.7",
"계","2014.05 월","42740.7","27066.3","26111.5","954.7","15674.4","63.3","3.5","61.1","65.8",
"계","2014.06 월","42783","27130.7","26178.2","952.5","15652.3","63.4","3.5","61.2","65.9",
"계","2014.07 월","42820","27193.9","26280.4","913.5","15626.1","63.5","3.4","61.4","66.2",
"계","2014.08 월","42861.2","27076.5","26183","893.5","15784.7","63.2","3.3","61.1","65.9",
"계","2014.09 월","42897.4","27064.3","26213.2","851.1","15833.1","63.1","3.1","61.1","65.9",
"계","2014.10 월","42929","27107.7","26246.6","861.1","15821.4","63.1","3.2","61.1","65.9",
"계","2014.11 월","42967.4","27081.6","26260","821.6","15885.8","63","3","61.1","66.1",
"계","2014.12 월","43003.5","26567.8","25679.4","888.4","16435.7","61.8","3.3","59.7","65.5",
"계","2015.01 월","43040.3","26380","25391.9","988.1","16660.3","61.3","3.7","59","65",
"계","2015.02 월","43081.1","26670.9","25470.7","1200.2","16410.1","61.9","4.5","59.1","65",
"계","2015.03 월","43117.2","26840.2","25766.1","1074.1","16277","62.2","4","59.8","65.1",
"계","2015.04 월","43156.6","27203.8","26153.2","1050.6","15952.8","63","3.9","60.6","65.8",
"계","2015.05 월","43194.2","27452.9","26430.8","1022.1","15741.3","63.6","3.7","61.2","66.2",
"계","2015.06 월","43231.8","27487.8","26440.1","1047.7","15744","63.6","3.8","61.2","66.2",
"계","2015.07 월","43265.3","27535.6","26537.5","998","15729.7","63.6","3.6","61.3","66.5",
"계","2015.08 월","43296","27293.5","26368.7","924.8","16002.5","63","3.4","60.9","66",
"계","2015.09 월","43328.1","27354.7","26487.4","867.3","15973.4","63.1","3.2","61.1","66.3",
"계","2015.10 월","43356.8","27358.4","26518.7","839.7","15998.3","63.1","3.1","61.2","66.4",
"계","2015.11 월","43386.2","27298.2","26469.4","828.8","16088","62.9","3","61","66.4",
"계","2015.12 월","43418.2","26965.2","26097.8","867.4","16453","62.1","3.2","60.1","66",
"계","2016.01 월","43439","26630.8","25646.3","984.6","16808.1","61.3","3.7","59","65.3",
"계","2016.02 월","43470.6","26924.7","25615.3","1309.4","16545.9","61.9","4.9","58.9","65.1",
"계","2016.03 월","43506.3","27133","25980","1153","16373.3","62.4","4.2","59.7","65.2",
"계","2016.04 월","43536.5","27398.3","26324.7","1073.6","16138.3","62.9","3.9","60.5","65.8",
"계","2016.05 월","43571.1","27616.5","26612.9","1003.6","15954.6","63.4","3.6","61.1","66.3",
"계","2016.06 월","43600.3","27720.4","26718.2","1002.2","15879.9","63.6","3.6","61.3","66.5",
"계","2016.07 월","43626.3","27737.4","26764.6","972.8","15888.8","63.6","3.5","61.3","66.6",
"계","2016.08 월","43651.8","27689.7","26696","993.7","15962.1","63.4","3.6","61.2","66.4",
"계","2016.09 월","43677.9","27679.4","26696.8","982.6","15998.4","63.4","3.5","61.1","66.4",
"계","2016.10 월","43704","27665.8","26745.6","920.2","16038.2","63.3","3.3","61.2","66.5",
"계","2016.11 월","43729.9","27613","26761.9","851.1","16116.9","63.1","3.1","61.2","66.7",
"계","2016.12 월","43755.3","27211","26347","864","16544.3","62.2","3.2","60.2","66.2",
"계","2017.01 월","43790.4","26886","25878.3","1007.7","16904.4","61.4","3.7","59.1","65.5",
"계","2017.02 월","43817.9","27320.9","25979.3","1341.7","16496.9","62.4","4.9","59.3","65.7",
"계","2017.03 월","43846","27579.3","26442.5","1136.8","16266.7","62.9","4.1","60.3","66.1",
"계","2017.04 월","43871.1","27911.4","26744.2","1167.1","15959.8","63.6","4.2","61","66.6",
"계","2017.05 월","43902.3","27986.7","26991.9","994.8","15915.6","63.7","3.6","61.5","67",
"계","2017.06 월","43924.3","28080.5","27019.9","1060.5","15843.9","63.9","3.8","61.5","67.1",
"계","2017.07 월","43945.5","28036.6","27078.4","958.2","15908.9","63.8","3.4","61.6","67.2",
"계","2017.08 월","43967.4","27903.3","26904.3","999","16064.1","63.5","3.6","61.2","66.8",
"계","2017.09 월","43986.5","27942.7","27010.7","932","16043.8","63.5","3.3","61.4","66.9",
"계","2017.10 월","44014.5","27919.7","27026.3","893.5","16094.7","63.4","3.2","61.4","67",
"계","2017.11 월","44039.9","27889","27018.5","870.5","16150.9","63.3","3.1","61.4","67",
"계","2017.12 월","44059.8","27516.4","26603.7","912.7","16543.4","62.5","3.3","60.4","66.6",
"계","2018.01 월","44072.5","27232.3","26212.5","1019.8","16840.2","61.8","3.7","59.5","66.2",
"계","2018.02 월","44092.6","27348.3","26082.8","1265.4","16744.3","62","4.6","59.2","65.8",
"계","2018.03 월","44100","27811.4","26554.5","1256.9","16288.6","63.1","4.5","60.2","66.1",
"계","2018.04 월","44122","28028.7","26867.6","1161.1","16093.3","63.5","4.1","60.9","66.6",
"계","2018.05 월","44140.6","28184.4","27063.7","1120.7","15956.1","63.9","4","61.3","67",
"계","2018.06 월","44160.8","28160.5","27126.3","1034.2","16000.3","63.8","3.7","61.4","67",
"계","2018.07 월","44186.7","28122.5","27083.4","1039.1","16064.2","63.6","3.7","61.3","67",
"계","2018.08 월","44211.3","28039.4","26906.8","1132.5","16171.9","63.4","4","60.9","66.5",
"계","2018.09 월","44237.2","28079.4","27055.3","1024.1","16157.8","63.5","3.6","61.2","66.8",
"계","2018.10 월","44262","28062.6","27090","972.6","16199.4","63.4","3.5","61.2","66.8",
"계","2018.11 월","44284","28092.3","27183.8","908.5","16191.7","63.4","3.2","61.4","67.1",
"계","2018.12 월","44315.5","27582.2","26638.1","944.1","16733.4","62.2","3.4","60.1","66.5",
"계","2019.01 월","44318.8","27455.3","26231.6","1223.7","16863.5","61.9","4.5","59.2","65.9",
"계","2019.02 월","44382.3","27648.7","26345.6","1303","16733.6","62.3","4.7","59.4","65.8",
"계","2019.03 월","44409.1","28001.7","26804.7","1196.9","16407.5","63.1","4.3","60.4","66.2",
