시도별,시점,15세이상인구[천명],경제활동인구[천명],취업자[천명],실업자[천명],비경제활동인구[천명],경제활동참가율[%],실업률[%],고용률[%],15-64세 고용률[%]
부산광역시,199911,2947.0,1755.0,1637.0,118.0,1192.0,59.6,6.7,55.5,58.5
부산광역시,199912,2947.0,1766.0,1640.0,126.0,1182.0,59.9,7.1,55.6,58.5
부산광역시,200001,2947.5,1761.4,1619.4,142.0,1186.1,59.8,8.1,54.9,57.9
부산광역시,200002,2947.4,1768.9,1625.3,143.6,1178.5,60.0,8.1,55.1,58.1
부산광역시,200003,2947.3,1776.7,1641.8,134.9,1170.5,60.3,7.6,55.7,58.7
부산광역시,200004,2947.5,1749.4,1630.2,119.2,1198.0,59.4,6.8,55.3,58.4
부산광역시,200005,2948.4,1756.9,1639.2,117.6,1191.6,59.6,6.7,55.6,58.6
부산광역시,200006,2949.0,1749.3,1635.5,113.8,1199.7,59.3,6.5,55.5,58.5
부산광역시,200007,2949.2,1765.7,1637.8,127.8,1183.5,59.9,7.2,55.5,58.6
부산광역시,200008,2949.9,1749.2,1624.9,124.3,1200.7,59.3,7.1,55.1,58.1
부산광역시,200009,2950.4,1745.9,1621.8,124.2,1204.5,59.2,7.1,55.0,58.0
부산광역시,200010,2950.6,1758.6,1640.1,118.5,1192.0,59.6,6.7,55.6,58.6
부산광역시,200011,2950.5,1750.8,1639.5,111.2,1199.7,59.3,6.4,55.6,58.7
부산광역시,200012,2951.0,1758.3,1638.8,119.6,1192.7,59.6,6.8,55.5,58.8
부산광역시,200101,2950.0,1755.6,1628.2,127.4,1194.3,59.5,7.3,55.2,58.4
부산광역시,200102,2949.5,1744.7,1617.0,127.8,1204.7,59.2,7.3,54.8,58.1
부산광역시,200103,2949.0,1732.1,1604.7,127.4,1216.9,58.7,7.4,54.4,57.6
부산광역시,200104,2948.3,1743.6,1638.5,105.1,1204.7,59.1,6.0,55.6,58.9
부산광역시,200105,2948.2,1751.1,1660.6,90.4,1197.1,59.4,5.2,56.3,59.7
부산광역시,200106,2948.4,1754.8,1663.3,91.5,1193.7,59.5,5.2,56.4,59.8
부산광역시,200107,2948.5,1751.8,1657.8,94.1,1196.7,59.4,5.4,56.2,59.6
부산광역시,200108,2948.1,1724.2,1634.6,89.6,1224.0,58.5,5.2,55.4,58.9
부산광역시,200109,2947.1,1723.3,1644.0,79.3,1223.8,58.5,4.6,55.8,59.2
부산광역시,200110,2946.4,1741.5,1660.7,80.8,1204.9,59.1,4.6,56.4,59.9
부산광역시,200111,2945.9,1762.8,1679.2,83.5,1183.1,59.8,4.7,57.0,60.6
부산광역시,200112,2944.9,1774.8,1685.7,89.1,1170.1,60.3,5.0,57.2,60.8
부산광역시,200201,2944.8,1793.3,1705.4,87.9,1151.5,60.9,4.9,57.9,61.5
부산광역시,200202,2944.2,1797.8,1715.5,82.3,1146.4,61.1,4.6,58.3,61.8
부산광역시,200203,2943.3,1772.3,1688.1,84.2,1171.0,60.2,4.8,57.4,60.9
부산광역시,200204,2942.3,1790.9,1712.2,78.7,1151.4,60.9,4.4,58.2,61.6
부산광역시,200205,2941.2,1795.8,1720.4,75.4,1145.4,61.1,4.2,58.5,61.9
부산광역시,200206,2940.5,1782.6,1717.1,65.5,1157.9,60.6,3.7,58.4,61.9
부산광역시,200207,2939.8,1801.9,1730.0,71.9,1137.9,61.3,4.0,58.8,62.4
부산광역시,200208,2938.7,1779.5,1715.8,63.6,1159.3,60.6,3.6,58.4,62.0
부산광역시,200209,2937.4,1779.2,1728.2,51.0,1158.1,60.6,2.9,58.8,62.4
부산광역시,200210,2936.8,1768.5,1715.3,53.3,1168.2,60.2,3.0,58.4,62.0
부산광역시,200211,2935.1,1747.5,1688.2,59.3,1187.7,59.5,3.4,57.5,61.0
부산광역시,200212,2934.1,1748.0,1682.9,65.1,1186.1,59.6,3.7,57.4,60.9
부산광역시,200301,2933.6,1732.3,1661.5,70.8,1201.3,59.1,4.1,56.6,60.6
부산광역시,200302,2932.7,1705.8,1638.1,67.7,1226.9,58.2,4.0,55.9,59.8
부산광역시,200303,2931.7,1705.8,1633.9,72.0,1225.9,58.2,4.2,55.7,59.6
부산광역시,200304,2931.1,1701.1,1639.2,61.9,1229.9,58.0,3.6,55.9,59.9
부산광역시,200305,2930.5,1702.4,1632.3,70.1,1228.1,58.1,4.1,55.7,59.5
부산광역시,200306,2929.2,1683.1,1613.5,69.6,1246.1,57.5,4.1,55.1,59.0
부산광역시,200307,2929.0,1673.4,1604.6,68.7,1255.7,57.1,4.1,54.8,58.6
부산광역시,200308,2928.4,1653.4,1588.1,65.3,1275.0,56.5,3.9,54.2,58.1
부산광역시,200309,2928.0,1657.0,1588.8,68.2,1271.1,56.6,4.1,54.3,58.2
부산광역시,200310,2927.8,1674.5,1604.4,70.1,1253.3,57.2,4.2,54.8,58.7
부산광역시,200311,2927.3,1678.0,1608.6,69.4,1249.4,57.3,4.1,55.0,58.9
부산광역시,200312,2927.1,1692.2,1614.1,78.1,1234.9,57.8,4.6,55.1,59.1
부산광역시,200401,2927.6,1680.6,1599.8,80.8,1247.1,57.4,4.8,54.6,58.7
부산광역시,200402,2927.3,1687.1,1602.7,84.4,1240.1,57.6,5.0,54.8,58.7
부산광역시,200403,2926.9,1695.9,1608.1,87.9,1230.9,57.9,5.2,54.9,58.8
부산광역시,200404,2926.4,1710.0,1622.8,87.2,1216.4,58.4,5.1,55.5,59.3
